Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Booking Date,TimeZone,Main Currency,Main Amount,Record Type,Payment Currency,Received (PC),Authorised (PC),Captured (PC),Settlement Currency,Payable (SC),Commission (SC),Markup (SC),Scheme Fees (SC),Interchange (SC),Processing Fee Currency,Processing Fee (FC),User Name,Payment Method Variant,Modification Merchant Reference,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10
AffiniPayLLC,AffiniPayLLCMP,851642404800482H,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-3hnwlvyFQDIwRrqzSvv03D,ach,2022-01-17 21:03:36,PST,USD,29.41,Settled,USD,0.00,0.00,-30.01,USD,29.41,0.60,0.00,0.00,0.00,,,system,ach,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-3hnwlvyFQDIwRrqzSvv03D-capture,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP,881642404788691G,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-1q4ipeAOOFB7ON8xASfw0B,ach,2022-01-17 21:03:36,PST,USD,29.42,Settled,USD,0.00,0.00,-30.02,USD,29.42,0.60,0.00,0.00,0.00,,,system,ach,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-1q4ipeAOOFB7ON8xASfw0B-capture,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP,881642404801442H,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-5ccA5wPe7SvuU2OdJlF8IG,ach,2022-01-17 21:03:36,PST,USD,29.41,Settled,USD,0.00,0.00,-30.01,USD,29.41,0.60,0.00,0.00,0.00,,,system,ach,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-5ccA5wPe7SvuU2OdJlF8IG-capture,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP,861642404789014C,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-0jOR3ELJBfu4p1C3W5rPqQ,ach,2022-01-17 21:03:36,PST,USD,29.39,Settled,USD,0.00,0.00,-29.99,USD,29.39,0.60,0.00,0.00,0.00,,,system,ach,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-0jOR3ELJBfu4p1C3W5rPqQ-capture,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP,882640071519054A,01J6wWO3IeV4Pu4NMO6F2A-3Fnr1QQR8N9jO4jVyfaDyw-6yfHGVhJxVWHl4GwKG59dw,visa,2022-01-17 23:26:16,PST,USD,20.02,Expired,USD,0.00,-20.02,0.00,,,,,,,,,system,visadebit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP,862640071530744D,01J6wWO3IeV4Pu4NMO6F2A-3Fnr1QQR8N9jO4jVyfaDyw-58Op1UTsSqVe5QS4pQ0KCx,visa,2022-01-17 23:26:30,PST,USD,20.02,Expired,USD,0.00,-20.02,0.00,,,,,,,,,system,visadebit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP,853640071551130J,01J6wWO3IeV4Pu4NMO6F2A-3Fnr1QQR8N9jO4jVyfaDyw-2LePKDiTqgML7uztzTKOjC,visa,2022-01-17 23:26:46,PST,USD,20.02,Expired,USD,0.00,-20.02,0.00,,,,,,,,,system,visadebit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP,862640071562734F,01J6wWO3IeV4Pu4NMO6F2A-3Fnr1QQR8N9jO4jVyfaDyw-5B2qvPY0b8HDxOet1KZ8We,visa,2022-01-17 23:27:00,PST,USD,20.02,Expired,USD,0.00,-20.02,0.00,,,,,,,,,system,visadebit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP,853640071573899C,01J6wWO3IeV4Pu4NMO6F2A-3Fnr1QQR8N9jO4jVyfaDyw-4jrQla8ZSAfgQT1wpGPf7G,visa,2022-01-17 23:27:01,PST,USD,20.02,Expired,USD,0.00,-20.02,0.00,,,,,,,,,system,visadebit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP,883640071583751A,01J6wWO3IeV4Pu4NMO6F2A-3Fnr1QQR8N9jO4jVyfaDyw-3FBODmCHkyOPRtISQtnavD,visa,2022-01-17 23:27:30,PST,USD,20.02,Expired,USD,0.00,-20.02,0.00,,,,,,,,,system,visadebit,,,,,,,,,
